FID,AID,Year,Julianday,Hour,Minute,Activity,Temperatur,Latitude,Longitude,HDOP,NumSats,FixTime,2D_3D,POINT_X,POINT_Y
0,31351,2013,145,18,54,32,27,59.354179999999999,-122.113020000000010,1.600000000000000,5,43,3,550433.772451999950000,6579827.109369999700000
1,31351,2013,145,19,0,98,28,59.354819999999997,-122.113280000000000,1.600000000000000,4,22,3,550418.040452999990000,6579898.176679999600000
2,31351,2013,145,19,30,4,28,59.354889999999997,-122.113420000000000,1.600000000000000,4,22,3,550409.976719000030000,6579905.865210000400000
3,31351,2013,145,20,0,12,27,59.354810000000001,-122.113350000000000,1.400000000000000,6,33,3,550414.075299000020000,6579897.010180000200000
4,31351,2013,145,20,30,25,26,59.354830000000000,-122.113300000000000,1.500000000000000,6,37,3,550416.888489000030000,6579899.275039999700000
5,31351,2013,145,21,0,4,25,59.354799999999997,-122.113310000000000,1.100000000000000,7,22,3,550416.364400999970000,6579895.926959999800000
6,31351,2013,145,21,30,8,23,59.354779999999998,-122.113310000000000,1.400000000000000,6,22,3,550416.394054000030000,6579893.699950000300000
7,31351,2013,145,22,0,0,26,59.354779999999998,-122.113330000000000,1.200000000000000,6,22,3,550415.256916000040000,6579893.684809999500000
8,31351,2013,145,22,30,3,26,59.354750000000003,-122.113310000000000,1.500000000000000,5,22,3,550416.438533999960000,6579890.359439999800000
9,31351,2013,145,23,0,2,26,59.354759999999999,-122.113260000000000,1.700000000000000,5,47,3,550419.266554999980000,6579891.510800000300000
10,31351,2013,145,23,31,8,26,59.354799999999997,-122.113280000000000,1.300000000000000,5,45,3,550418.070106999950000,6579895.949670000000000
11,31351,2013,146,0,0,0,26,59.354849999999999,-122.113400000000000,1.200000000000000,5,22,3,550411.173154999970000,6579901.426339999800000
12,31351,2013,146,0,30,9,25,59.354799999999997,-122.113280000000000,2.100000000000000,4,22,3,550418.070106999950000,6579895.949670000000000
13,31351,2013,146,1,0,0,26,59.354860000000002,-122.113630000000000,1.600000000000000,6,41,3,550398.081267999950000,6579902.365760000400000
14,31351,2013,146,1,30,0,30,59.354880000000001,-122.113519999999990,1.100000000000000,8,22,3,550404.305869000030000,6579904.676009999600000
15,31351,2013,146,2,0,5,27,59.354900000000001,-122.114040000000000,1.200000000000000,9,22,3,550374.710726000020000,6579906.509549999600000
16,31351,2013,146,2,30,6,26,59.354900000000001,-122.113829999999990,2.100000000000000,7,22,3,550386.650637999990000,6579906.668429999600000
17,31351,2013,146,3,0,0,29,59.354860000000002,-122.113780000000010,1.500000000000000,6,23,3,550389.552750000030000,6579902.252249999900000
18,31351,2013,146,3,30,0,30,59.354909999999997,-122.113900000000000,3.200000000000000,5,22,3,550382.655850999990000,6579907.728969999600000
19,31351,2013,146,4,0,0,33,59.354880000000001,-122.113820000000000,1.500000000000000,6,52,3,550387.248842000030000,6579904.448990000400000
20,31351,2013,146,4,30,0,31,59.354950000000002,-122.113890000000000,1.200000000000000,7,23,3,550383.165150000020000,6579912.190539999900000
21,31351,2013,146,5,0,0,27,59.354900000000001,-122.113870000000010,2.500000000000000,5,27,3,550384.376368999950000,6579906.638159999600000
22,31351,2013,146,5,30,3,26,59.354880000000001,-122.113890000000000,2.300000000000000,4,25,3,550383.268869000020000,6579904.396019999900000
23,31351,2013,146,6,0,0,26,59.354900000000001,-122.113850000000000,1.000000000000000,8,47,3,550385.513504000030000,6579906.653289999800000
24,31351,2013,146,6,30,1,28,59.354909999999997,-122.113850000000000,1.600000000000000,6,22,3,550385.498686000010000,6579907.766800000300000
25,31351,2013,146,7,0,21,26,59.354250000000000,-122.114120000000000,1.100000000000000,7,22,3,550371.125042999980000,6579834.071340000300000
26,31351,2013,146,7,30,27,24,59.351179999999999,-122.127090000000000,2.200000000000000,5,22,3,549638.159572000030000,6579482.486910000400000
27,31351,2013,146,8,0,48,23,59.350380000000001,-122.142950000000000,3.400000000000000,4,37,3,548737.457281999990000,6579381.692429999800000
28,31351,2013,146,8,32,33,21,59.346209999999999,-122.146199999999990,3.100000000000000,3,120,2,548558.600639999960000,6578914.986300000000000
29,31351,2013,146,9,2,46,23,59.348199999999999,-122.153160000000000,1.700000000000000,4,120,2,548159.957226000030000,6579131.520340000300000
30,31351,2013,146,9,30,19,24,59.348170000000003,-122.153220000000000,1.500000000000000,6,22,3,548156.587609000040000,6579128.136430000000000
