pokedex_number,name,classfication,generation,is_legendary,type1,type2,abilities,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,experience_growth,base_happiness,base_egg_steps,height_m,weight_kg,percentage_male
1,Bulbasaur,Seed Pokemon,1,0,grass,poison,"['Overgrow', 'Chlorophyll']",318,45,49,49,65,65,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,1059860,70,5120,0.7,6.9,88.1
2,Ivysaur,Seed Pokemon,1,0,grass,poison,"['Overgrow', 'Chlorophyll']",405,60,62,63,80,80,60,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,1059860,70,5120,1,13,88.1
3,Venusaur,Seed Pokemon,1,0,grass,poison,"['Overgrow', 'Chlorophyll']",625,80,100,123,122,120,80,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,1059860,70,5120,2,100,88.1
4,Charmander,Lizard Pokemon,1,0,fire,,"['Blaze', 'Solar Power']",309,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1059860,70,5120,0.6,8.5,88.1
5,Charmeleon,Flame Pokemon,1,0,fire,,"['Blaze', 'Solar Power']",405,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,1059860,70,5120,1.1,19,88.1
6,Charizard,Flame Pokemon,1,0,fire,flying,"['Blaze', 'Solar Power']",634,78,104,78,159,115,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,45,1059860,70,5120,1.7,90.5,88.1
7,Squirtle,Tiny Turtle Pokemon,1,0,water,,"['Torrent', 'Rain Dish']",314,44,48,65,50,64,43,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,0.5,9,88.1
8,Wartortle,Turtle Pokemon,1,0,water,,"['Torrent', 'Rain Dish']",405,59,63,80,65,80,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,1,22.5,88.1
9,Blastoise,Shellfish Pokemon,1,0,water,,"['Torrent', 'Rain Dish']",630,79,103,120,135,115,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,1059860,70,5120,1.6,85.5,88.1
10,Caterpie,Worm Pokemon,1,0,bug,,"['Shield Dust', 'Run Away']",195,45,30,35,20,20,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,255,1000000,70,3840,0.3,2.9,50
11,Metapod,Cocoon Pokemon,1,0,bug,,['Shed Skin'],205,50,20,55,25,25,30,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,1000000,70,3840,0.7,9.9,50
12,Butterfree,Butterfly Pokemon,1,0,bug,flying,"['Compoundeyes', 'Tinted Lens']",395,60,45,50,90,80,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,1000000,70,3840,1.1,32,50
13,Weedle,Hairy Pokemon,1,0,bug,poison,"['Shield Dust', 'Run Away']",195,40,35,30,20,20,50,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,1000000,70,3840,0.3,3.2,50
14,Kakuna,Cocoon Pokemon,1,0,bug,poison,['Shed Skin'],205,45,25,50,25,25,35,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,120,1000000,70,3840,0.6,10,50
15,Beedrill,Poison Bee Pokemon,1,0,bug,poison,"['Swarm', 'Sniper']",495,65,150,40,15,80,145,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,1000000,70,3840,1,29.5,50
