NAME,Total Enrollment,Total Revenue
A.C.G.C. SCHOOL DISTRICT,817,12613
ABBEVILLE COUNTY SCHOOL DISTRICT,3012,37926
ABBOTSFORD SCHOOL DISTRICT,764,11302
ABBOTT IND SCH DIST 901,277,3634
ABC UNIF SCHOOL DIST,20465,279409
ABERDEEN SCHOOL DISTRICT,1201,14550
ABERDEEN SCHOOL DISTRICT 5,3534,53758
ABERDEEN SCHOOL DISTRICT 58,744,7904
ABERDEEN SCHOOL DISTRICT 6-1,4478,49578
ABERNATHY IND SCH DIST 901,780,11259
ABILENE IND SCH DIST 901,16645,169276
ABILENE UNIFIED SCHOOL DISTRICT 435,1584,19233
ABINGDON - AVON CUSD 276,958,11293
ABINGTON HTS SCH DIST,3366,49695
ABINGTON SCH DIST,8337,168292
ABINGTON TOWN SCHS,2056,39360
ABSAROKEE ELEM SCH DIST 52-C,144,1980
ABSAROKEE H S DIST 52,86,1957
ABSECON SCHOOL DISTRICT,869,19590
ACADEMY FOR ACADEMIC EXCELLENCE,505,7848
ACADEMY IND SCH DIST 901,1652,16899
ACADEMY SCHOOL DIST 20,26178,305119
ACADIA PARISH SCHOOL DISTRICT,9762,99672
ACALANES UNION HIGH SCHOOL DIST,5683,100297
ACCOMACK COUNTY SCHOOL,5115,58512
ACHIEVEMENT SCHOOL DISTRICT,11031,115687
ACHILLE SCH DIST 3,321,4020
ACKERMAN ELEM SCH DIST,593,6550
ACTON SCHOOL DEPARTMENT,238,5947
ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,1085,25235
ACTON-BOXBOROUGH REG SCH DIST,5571,112424
ACUSHNET TOWN SCHS,1004,18550
ADA EXEMPTED SCH DIST,865,12314
ADA SCH DIST 19,2551,26120
ADA-BORUP SCHOOL DISTRICT 2854,709,9338
ADAIR CO SCH DIST,2635,31942
ADAIR COUNTY SCHOOL DISTRICT R 1,219,3114
ADAIR COUNTY SCHOOL DISTRICT R-2,148,2398
ADAIR SCH DIST 2,1066,10039
ADAIR-CASEY COMMUNITY SCHOOL DISTRICT,258,5181
ADAMS 12 FIVE STAR SCHOOLS DISTRICT,39282,524149
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,1294,27561
ADAMS CENTRAL SCH DIST 090,1005,17750
ADAMS CHESHIRE REG SCH DIST,1161,24338
ADAMS COUNTY SCHOOL DISTRICT 50,9277,132757
ADAMS COUNTY/OHIO VALLEY LOCAL SCH DIST,3725,51526
ADAMS SCHOOL DISTRICT 14,7060,94658
ADAMS TWP SCH DIST,480,5394
ADAMS-ARAPAHOE SCHOOL DISTRICT 28J,39892,608596
ADAMS-FRIENDSHIP SCHOOL DISTRICT,1494,23746
ADDISON CENTRAL SCH DIST,1120,33016
ADDISON CENTRAL SUPERVISORY DISTRICT,1832,40331
